"Name","Live Bytes","Live Objects"
"java.util.Arrays$ArrayList","138,048 B (0.1%)","5,752 (0.2%)"
"java.lang.invoke.LambdaForm$Name","136,032 B (0.1%)","4,251 (0.1%)"
"java.util.Collections$SingletonMap","135,840 B (0.1%)","3,396 (0.1%)"
"java.util.concurrent.ConcurrentHashMap$MapEntry","134,856 B (0.1%)","5,619 (0.2%)"
"java.security.Principal[]","133,568 B (0.1%)","8,348 (0.3%)"
"java.security.ProtectionDomain$Key","133,568 B (0.1%)","8,348 (0.3%)"
"javax.swing.text.html.InlineView","131,520 B (0.1%)","1,370 (0%)"
"java.util.concurrent.atomic.AtomicReference","130,736 B (0.1%)","8,171 (0.2%)"
"java.lang.Integer[]","129,056 B (0.1%)","5,333 (0.2%)"
"com.intellij.util.containers.DisposableWrapperList$DisposableWrapperListIterator","128,856 B (0.1%)","5,369 (0.2%)"
"java.util.ArrayList$Itr","128,032 B (0.1%)","4,001 (0.1%)"
"java.lang.StackTraceElement[]","126,064 B (0.1%)","5,390 (0.2%)"
"sun.nio.fs.UnixPath","124,128 B (0.1%)","3,879 (0.1%)"
"com.intellij.openapi.extensions.impl.XmlExtensionAdapter$SimpleConstructorInjectionAdapter","122,200 B (0.1%)","3,055 (0.1%)"
"java.lang.ref.WeakReference[]","121,040 B (0.1%)","3 (0%)"
"java.lang.StackTraceElement","119,472 B (0.1%)","2,489 (0.1%)"
"sun.font.TrueTypeFont$DirectoryEntry","117,096 B (0.1%)","4,879 (0.1%)"
"java.lang.reflect.Constructor","114,400 B (0.1%)","1,430 (0%)"
"java.util.WeakHashMap$Entry","113,160 B (0.1%)","2,829 (0.1%)"
"java.util.TreeMap$KeySet","109,296 B (0.1%)","6,831 (0.2%)"
"java.util.TreeMap$EntrySet","108,752 B (0.1%)","6,797 (0.2%)"
"sun.java2d.pipe.Region","101,120 B (0.1%)","2,528 (0.1%)"
"com.intellij.util.keyFMap.OneElementFMap","100,176 B (0.1%)","4,174 (0.1%)"
"java.lang.Integer","99,408 B (0.1%)","6,213 (0.2%)"
"com.intellij.diagnostic.PerformanceWatcher$FreezeCheckerTask$$Lambda$488.0x000000010064b840","97,840 B (0.1%)","6,115 (0.2%)"
"com.intellij.ide.IdeEventQueue$$Lambda$494.0x000000010066f840","97,776 B (0.1%)","6,111 (0.2%)"
"com.intellij.ide.IdeEventQueue$$Lambda$479.0x000000010064b040","97,744 B (0.1%)","6,109 (0.2%)"
"com.intellij.openapi.application.TransactionGuardImpl$1","95,088 B (0.1%)","3,962 (0.1%)"
"com.intellij.util.containers.hash.LinkedHashMap$Entry","94,240 B (0.1%)","2,356 (0.1%)"
"java.lang.ref.SoftReference[]","93,704 B (0%)","1,385 (0%)"
"gnu.trove.THashMap","92,400 B (0%)","1,925 (0.1%)"
"java.util.Vector","90,304 B (0%)","2,822 (0.1%)"
"java.util.Collections$3","90,192 B (0%)","3,758 (0.1%)"
"java.util.Collections$SingletonList","89,976 B (0%)","3,749 (0.1%)"
"sun.java2d.loops.ProcessPath$Point[]","89,624 B (0%)","426 (0%)"
"com.google.common.collect.ImmutableMapEntry","89,592 B (0%)","3,733 (0.1%)"
"com.intellij.openapi.editor.LogicalPosition","89,328 B (0%)","3,722 (0.1%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject","88,800 B (0%)","3,700 (0.1%)"
"java.beans.PropertyChangeListener[]","87,624 B (0%)","3,658 (0.1%)"
"com.intellij.openapi.actionSystem.AnActionEvent","86,600 B (0%)","2,165 (0.1%)"
"java.lang.Package","81,600 B (0%)","2,550 (0.1%)"
"com.intellij.util.containers.ConcurrentIntObjectHashMap$Node[]","81,216 B (0%)","64 (0%)"
"com.intellij.openapi.editor.event.EditorMouseEvent","80,528 B (0%)","1,438 (0%)"
"javax.swing.text.html.parser.ContentModel","79,552 B (0%)","2,486 (0.1%)"
"java.util.AbstractList$Itr","79,136 B (0%)","2,473 (0.1%)"
"java.nio.channels.SelectionKey[]","78,248 B (0%)","24 (0%)"
"com.intellij.openapi.editor.impl.view.VisualLineFragmentsIterator","78,104 B (0%)","751 (0%)"
"com.intellij.codeInsight.template.impl.TemplateImpl","75,840 B (0%)","1,185 (0%)"
"org.jdom.Content[]","75,608 B (0%)","2,003 (0.1%)"
"com.intellij.openapi.actionSystem.impl.ActionUpdater$$Lambda$1078.0x0000000100d56c40","75,120 B (0%)","3,130 (0.1%)"
"com.intellij.openapi.actionSystem.ActionStub","74,424 B (0%)","1,329 (0%)"
"com.intellij.util.containers.FixedHashMap","74,048 B (0%)","1,157 (0%)"
"javax.swing.text.html.StyleSheet$SmallConversionSet","73,600 B (0%)","2,300 (0.1%)"
"double[]","73,344 B (0%)","389 (0%)"
"com.intellij.util.containers.WeakHashMap$WeakKey","72,440 B (0%)","1,811 (0.1%)"
"sun.java2d.loops.ProcessPath$Point","71,520 B (0%)","1,788 (0.1%)"
"sun.util.locale.LocaleObjectCache$CacheEntry","71,040 B (0%)","1,480 (0%)"
"com.intellij.openapi.util.Pair","69,144 B (0%)","2,881 (0.1%)"
"java.util.Hashtable","67,344 B (0%)","1,403 (0%)"
"com.intellij.ui.JBColor","67,280 B (0%)","1,682 (0.1%)"
"java.beans.PropertyChangeSupport","67,224 B (0%)","2,801 (0.1%)"
"com.intellij.openapi.util.IconLoader$CachedImageIcon","64,624 B (0%)","1,154 (0%)"
"com.intellij.openapi.extensions.impl.ExtensionPointImpl$1","62,976 B (0%)","1,968 (0.1%)"
"int[][]","62,944 B (0%)","308 (0%)"
"com.intellij.util.lang.ClassLoadingLocks$WeakLockReference","62,816 B (0%)","1,963 (0.1%)"
"sun.font.XRGlyphCacheEntry[]","59,176 B (0%)","1,793 (0.1%)"
"com.intellij.openapi.actionSystem.Presentation$$Lambda$539.0x00000001006b8840","59,088 B (0%)","3,693 (0.1%)"
"java.awt.Color","57,792 B (0%)","1,806 (0.1%)"
"com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry","57,672 B (0%)","2,403 (0.1%)"
"com.intellij.openapi.editor.impl.EditorLocation","56,560 B (0%)","1,414 (0%)"
"javax.swing.Timer$1","55,952 B (0%)","3,497 (0.1%)"
"java.awt.Color[]","55,728 B (0%)","643 (0%)"
"org.jdom.ImmutableElement","55,200 B (0%)","1,150 (0%)"
"javax.swing.JPanel","54,560 B (0%)","155 (0%)"
"com.intellij.codeInspection.LocalInspectionEP","54,432 B (0%)","567 (0%)"
"com.intellij.openapi.util.ObjectNode","54,112 B (0%)","1,691 (0.1%)"
"java.util.WeakHashMap$Entry[]","52,864 B (0%)","486 (0%)"
"java.awt.EventQueue$5","52,560 B (0%)","2,190 (0.1%)"
"short[]","52,032 B (0%)","421 (0%)"
"java.util.HashSet","51,152 B (0%)","3,197 (0.1%)"
"com.intellij.openapi.actionSystem.Presentation$$Lambda$534.0x0000000100692c40","50,080 B (0%)","3,130 (0.1%)"
"java.lang.invoke.BoundMethodHandle$Species_L","49,504 B (0%)","1,547 (0%)"
"javax.swing.SizeRequirements","49,408 B (0%)","1,544 (0%)"
"com.intellij.openapi.extensions.impl.InterfaceExtensionPoint","48,608 B (0%)","868 (0%)"
"java.lang.invoke.MethodTypeForm","48,496 B (0%)","866 (0%)"
"java.lang.invoke.LambdaForm$NamedFunction","48,480 B (0%)","1,515 (0%)"
"com.google.common.collect.ImmutableMapEntry[]","48,472 B (0%)","84 (0%)"
"java.lang.ref.ReferenceQueue","48,064 B (0%)","1,502 (0%)"
"com.intellij.openapi.editor.impl.view.LineLayout$BidiRun","48,064 B (0%)","1,502 (0%)"
"com.intellij.openapi.editor.VisualPosition","48,024 B (0%)","2,001 (0.1%)"
"com.intellij.openapi.editor.impl.TextRangeInterval","48,000 B (0%)","2,000 (0.1%)"
"java.lang.invoke.LambdaForm$Name[]","47,280 B (0%)","762 (0%)"
"sun.font.TrueTypeFont","47,040 B (0%)","280 (0%)"
"java.lang.invoke.DirectMethodHandle$Special","47,040 B (0%)","1,176 (0%)"
"com.intellij.codeInsight.template.impl.LiveTemplatesOptionsTopHitProvider$Option","46,240 B (0%)","1,156 (0%)"
"kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal","46,032 B (0%)","1,918 (0.1%)"
"com.intellij.codeInspection.ex.ScopeToolState","45,840 B (0%)","1,146 (0%)"
"java.util.Collections$SynchronizedMap","45,536 B (0%)","1,423 (0%)"
"java.awt.AWTEventMulticaster","45,288 B (0%)","1,887 (0.1%)"
"java.beans.PropertyChangeSupport$PropertyChangeListenerMap","44,912 B (0%)","2,807 (0.1%)"
"com.intellij.openapi.updateSettings.impl.pluginsAdvertisement.PluginsAdvertiser$Plugin","43,656 B (0%)","1,819 (0.1%)"
"org.apache.log4j.Logger","43,320 B (0%)","1,083 (0%)"
"com.intellij.openapi.util.IconLoader$CachedImageIcon$MyUrlResolver","43,320 B (0%)","1,083 (0%)"
"java.util.stream.ReferencePipeline$Head","43,120 B (0%)","770 (0%)"
"java.lang.management.MonitorInfo[]","43,088 B (0%)","2,693 (0.1%)"
"java.lang.management.LockInfo[]","43,088 B (0%)","2,693 (0.1%)"
"javax.swing.TimerQueue$DelayedTimer","43,008 B (0%)","1,344 (0%)"
"com.intellij.openapi.actionSystem.impl.ActionManagerImpl$$Lambda$541.0x00000001006b9040","42,528 B (0%)","1,329 (0%)"
"com.intellij.openapi.components.ServiceDescriptor","42,480 B (0%)","1,062 (0%)"
"com.intellij.openapi.editor.impl.view.LineLayout$VisualOrderIterator","42,056 B (0%)","751 (0%)"
"org.apache.log4j.CategoryKey","42,024 B (0%)","1,751 (0.1%)"
"com.intellij.openapi.editor.impl.IntervalTreeImpl$1","41,856 B (0%)","654 (0%)"
"com.intellij.serviceContainer.ServiceComponentAdapter","41,720 B (0%)","1,043 (0%)"
"java.nio.ByteBuffer[]","41,280 B (0%)","17 (0%)"
"java.awt.Dimension","40,872 B (0%)","1,703 (0.1%)"
"com.intellij.openapi.actionSystem.Presentation$$Lambda$538.0x00000001006b8440","40,624 B (0%)","2,539 (0.1%)"
"com.intellij.util.lang.Loader[]","40,184 B (0%)","1,350 (0%)"
"sun.security.util.ObjectIdentifier","39,904 B (0%)","1,247 (0%)"
"javax.swing.event.EventListenerList","39,888 B (0%)","2,493 (0.1%)"
"java.lang.management.LockInfo","38,472 B (0%)","1,603 (0%)"
"javax.management.ObjectName$Property[]","37,544 B (0%)","1,102 (0%)"
"com.intellij.reference.SoftReference","37,520 B (0%)","938 (0%)"
"java.io.ObjectStreamClass$FieldReflectorKey","37,120 B (0%)","928 (0%)"
"com.intellij.openapi.ui.ThreeComponentsSplitter$Divider$$Lambda$2872.0x0000000101912040","37,024 B (0%)","2,314 (0.1%)"
"com.intellij.util.containers.LockFreeCopyOnWriteArrayList","37,008 B (0%)","2,313 (0.1%)"
"com.intellij.codeInsight.template.impl.Variable","36,800 B (0%)","920 (0%)"
"com.intellij.codeInspection.ex.ToolsImpl","36,672 B (0%)","1,146 (0%)"
"com.intellij.openapi.actionSystem.impl.ProxyShortcutSet","36,448 B (0%)","2,278 (0.1%)"
"java.lang.invoke.LambdaForm","36,336 B (0%)","757 (0%)"
"com.intellij.openapi.editor.impl.view.LineLayout$BidiRun[]","36,064 B (0%)","1,503 (0%)"
"com.intellij.ide.HelpTooltip$Header","36,000 B (0%)","90 (0%)"
"java.lang.Module","35,840 B (0%)","640 (0%)"
"com.intellij.openapi.actionSystem.impl.ActionToolbarImpl$4","35,600 B (0%)","89 (0%)"
"java.util.concurrent.atomic.AtomicBoolean","35,536 B (0%)","2,221 (0.1%)"
"javax.swing.text.html.HTMLDocument$BlockElement","35,472 B (0%)","739 (0%)"
"com.intellij.openapi.editor.markup.TextAttributes","34,992 B (0%)","2,187 (0.1%)"
"java.io.ObjectInputStream$HandleTable$HandleList[]","34,232 B (0%)","553 (0%)"
"java.util.LinkedHashMap$LinkedKeySet","33,920 B (0%)","2,120 (0.1%)"
"java.nio.HeapCharBuffer","33,792 B (0%)","704 (0%)"
"java.nio.HeapByteBuffer","33,696 B (0%)","702 (0%)"
"com.intellij.openapi.editor.markup.AttributesFlyweight","33,600 B (0%)","700 (0%)"
"com.intellij.openapi.editor.impl.view.SimpleTextFragment$$Lambda$1651.0x0000000101291440","33,408 B (0%)","1,044 (0%)"
"com.intellij.openapi.editor.impl.view.EditorPainter$Session$1$$Lambda$1649.0x0000000101253c40","33,408 B (0%)","1,044 (0%)"
"java.io.ObjectOutputStream$HandleTable","33,360 B (0%)","834 (0%)"
"sun.rmi.transport.ConnectionInputStream","33,280 B (0%)","416 (0%)"
"sun.reflect.annotation.AnnotationInvocationHandler","33,240 B (0%)","1,385 (0%)"
"javax.swing.text.AbstractDocument$AbstractElement[]","32,792 B (0%)","1,281 (0%)"
"javax.swing.text.AttributeSet[]","32,712 B (0%)","1,419 (0%)"
"com.intellij.util.containers.SLRUMap$1","32,648 B (0%)","583 (0%)"
"com.intellij.util.containers.SLRUMap$2","32,648 B (0%)","583 (0%)"
"com.intellij.ui.JBColor$$Lambda$565.0x00000001006ba440","31,392 B (0%)","1,308 (0%)"
"java.math.BigInteger","30,840 B (0%)","771 (0%)"
"javax.swing.text.StyleContext$NamedStyle","30,592 B (0%)","956 (0%)"
"sun.reflect.generics.tree.SimpleClassTypeSignature","30,528 B (0%)","1,272 (0%)"
"java.util.Collections$1","30,504 B (0%)","1,271 (0%)"
"com.intellij.ide.impl.DataManagerImpl$$Lambda$1627.0x0000000101252040","30,384 B (0%)","1,266 (0%)"
"com.intellij.openapi.editor.impl.view.LineLayout$VisualFragment","30,040 B (0%)","751 (0%)"
"sun.rmi.transport.ConnectionOutputStream","29,952 B (0%)","416 (0%)"
"com.intellij.util.containers.ConcurrentIntKeyWeakValueHashMap$MyRef","29,560 B (0%)","739 (0%)"
"gnu.trove.THashSet","29,240 B (0%)","731 (0%)"
"java.util.regex.Pattern","28,600 B (0%)","325 (0%)"
"com.intellij.codeInsight.template.impl.TemplateSettings$TemplateKey","28,440 B (0%)","1,185 (0%)"
"com.intellij.openapi.editor.markup.AttributesFlyweight$FlyweightKey","28,080 B (0%)","702 (0%)"
"com.intellij.openapi.util.IconLoader$CachedImageIcon$MyScaledIconsCache","27,696 B (0%)","1,154 (0%)"
"com.intellij.util.lang.JarLoader","27,456 B (0%)","429 (0%)"
"javax.swing.text.GapContent$MarkData","27,360 B (0%)","684 (0%)"
"com.intellij.codeInspection.ex.LocalInspectionToolWrapper","27,216 B (0%)","1,134 (0%)"
"java.io.ObjectInputStream$BlockDataInputStream","27,160 B (0%)","485 (0%)"
"com.intellij.util.io.PagedFileStorage","27,120 B (0%)","565 (0%)"
"com.intellij.util.io.PagedFileStorageCache","27,120 B (0%)","565 (0%)"
"javax.swing.text.View[]","27,088 B (0%)","1,097 (0%)"
"java.util.ResourceBundle$CacheKey","27,072 B (0%)","376 (0%)"
"java.rmi.server.UID","26,944 B (0%)","842 (0%)"
"java.util.concurrent.ConcurrentHashMap$EntryIterator","26,880 B (0%)","480 (0%)"
"com.intellij.ui.components.JBScrollPane$Corner","26,752 B (0%)","76 (0%)"
"javax.swing.text.html.StyleSheet$BoxPainter","26,656 B (0%)","476 (0%)"
"sun.java2d.loops.ProcessPath$Edge","26,520 B (0%)","663 (0%)"
"sun.java2d.xr.XRSurfaceData$XRPixmapSurfaceData","26,400 B (0%)","150 (0%)"
"javax.swing.text.html.HTMLDocument$RunElement","26,400 B (0%)","660 (0%)"
